time,latitude,longitude,p_msl
UTC,degrees_north,degrees_east,hPa
2023-03-31T18:00:00Z,-89.5,-98.5,1026.5636901855469
2023-03-31T18:00:00Z,-89.5,-97.5,1026.5386962890625
2023-03-31T18:00:00Z,-89.5,-96.5,1026.5137023925781
2023-03-31T18:00:00Z,-89.5,-95.5,1026.4887084960938
2023-03-31T18:00:00Z,-89.5,-94.5,1026.4636840820312
2023-03-31T18:00:00Z,-89.5,-93.5,1026.4136657714844
2023-03-31T18:00:00Z,-89.5,-92.5,1026.388671875
2023-03-31T18:00:00Z,-89.5,-91.5,1026.3636779785156
2023-03-31T18:00:00Z,-89.5,-90.5,1026.3136901855469
2023-03-31T18:00:00Z,-89.5,-89.5,1026.2637023925781
2023-03-31T18:00:00Z,-89.5,-88.5,1026.2136840820312
2023-03-31T18:00:00Z,-89.5,-87.5,1026.1636657714844
2023-03-31T18:00:00Z,-89.5,-86.5,1026.1136779785156
2023-03-31T18:00:00Z,-89.5,-85.5,1026.0636901855469
2023-03-31T18:00:00Z,-89.5,-84.5,1026.0137023925781
2023-03-31T18:00:00Z,-89.5,-83.5,1025.9636840820312
2023-03-31T18:00:00Z,-89.5,-82.5,1025.9136657714844
2023-03-31T18:00:00Z,-89.5,-81.5,1025.8636779785156
2023-03-31T18:00:00Z,-89.5,-80.5,1025.8386840820312
2023-03-31T18:00:00Z,-89.5,-79.5,1025.8136901855469
2023-03-31T18:00:00Z,-89.5,-78.5,1025.7886962890625
2023-03-31T18:00:00Z,-89.5,-77.5,1025.7886962890625
2023-03-31T18:00:00Z,-89.5,-76.5,1025.7886962890625
2023-03-31T18:00:00Z,-89.5,-75.5,1025.7886962890625
2023-03-31T18:00:00Z,-89.5,-74.5,1025.7886962890625
2023-03-31T18:00:00Z,-89.5,-73.5,1025.7886962890625
2023-03-31T18:00:00Z,-89.5,-72.5,1025.7886962890625
2023-03-31T18:00:00Z,-89.5,-71.5,1025.763687133789
2023-03-31T18:00:00Z,-89.5,-70.5,1025.7386779785156
2023-03-31T18:00:00Z,-89.5,-69.5,1025.7136840820312
2023-03-31T18:00:00Z,-89.5,-68.5,1025.6886901855469
2023-03-31T18:00:00Z,-89.5,-67.5,1025.6636810302734
2023-03-31T18:00:00Z,-89.5,-66.5,1025.638671875
2023-03-31T18:00:00Z,-89.5,-65.5,1025.6136779785156
2023-03-31T18:00:00Z,-89.5,-64.5,1025.5886840820312
2023-03-31T18:00:00Z,-89.5,-63.5,1025.5886840820312
2023-03-31T18:00:00Z,-89.5,-62.5,1025.5886840820312
2023-03-31T18:00:00Z,-89.5,-61.5,1025.6136779785156
2023-03-31T18:00:00Z,-89.5,-60.5,1025.6636810302734
2023-03-31T18:00:00Z,-89.5,-59.5,1025.7136840820312
2023-03-31T18:00:00Z,-89.5,-58.5,1025.763687133789
2023-03-31T18:00:00Z,-89.5,-57.5,1025.8136901855469
2023-03-31T18:00:00Z,-89.5,-56.5,1025.8636779785156
2023-03-31T18:00:00Z,-89.5,-55.5,1025.9136657714844
2023-03-31T18:00:00Z,-89.5,-54.5,1025.9636840820312
2023-03-31T18:00:00Z,-89.5,-53.5,1026.0137023925781
2023-03-31T18:00:00Z,-89.5,-52.5,1026.0386962890625
2023-03-31T18:00:00Z,-89.5,-51.5,1026.0636901855469
2023-03-31T18:00:00Z,-89.5,-50.5,1026.0886840820312
2023-03-31T18:00:00Z,-89.5,-49.5,1026.0886840820312
2023-03-31T18:00:00Z,-89.5,-48.5,1026.0886840820312
