time,latitude,longitude,sic
UTC,degrees_north,degrees_east,1
2022-09-16T12:00:00Z,89.5,102.5,0.95
2022-09-16T12:00:00Z,89.5,103.5,0.95
2022-09-16T12:00:00Z,89.5,104.5,0.95
2022-09-16T12:00:00Z,89.5,105.5,0.95
2022-09-16T12:00:00Z,89.5,106.5,0.95
2022-09-16T12:00:00Z,89.5,107.5,0.95
2022-09-16T12:00:00Z,89.5,108.5,0.95
2022-09-16T12:00:00Z,89.5,109.5,0.95
2022-09-16T12:00:00Z,89.5,110.5,0.95
2022-09-16T12:00:00Z,89.5,111.5,0.95
2022-09-16T12:00:00Z,89.5,112.5,0.94
2022-09-16T12:00:00Z,89.5,113.5,0.95
2022-09-16T12:00:00Z,89.5,114.5,0.95
2022-09-16T12:00:00Z,89.5,115.5,0.95
2022-09-16T12:00:00Z,89.5,116.5,0.95
2022-09-16T12:00:00Z,89.5,117.5,0.95
2022-09-16T12:00:00Z,89.5,118.5,0.95
2022-09-16T12:00:00Z,89.5,119.5,0.95
2022-09-16T12:00:00Z,89.5,120.5,0.94
2022-09-16T12:00:00Z,89.5,121.5,0.94
2022-09-16T12:00:00Z,89.5,122.5,0.94
2022-09-16T12:00:00Z,89.5,123.5,0.95
2022-09-16T12:00:00Z,89.5,124.5,0.95
2022-09-16T12:00:00Z,89.5,125.5,0.95
2022-09-16T12:00:00Z,89.5,126.5,0.95
2022-09-16T12:00:00Z,89.5,127.5,0.95
2022-09-16T12:00:00Z,89.5,128.5,0.96
2022-09-16T12:00:00Z,89.5,129.5,0.96
2022-09-16T12:00:00Z,89.5,130.5,0.96
2022-09-16T12:00:00Z,89.5,131.5,0.95
2022-09-16T12:00:00Z,89.5,132.5,0.95
2022-09-16T12:00:00Z,89.5,133.5,0.95
2022-09-16T12:00:00Z,89.5,134.5,0.95
2022-09-16T12:00:00Z,89.5,135.5,0.95
2022-09-16T12:00:00Z,89.5,136.5,0.95
2022-09-16T12:00:00Z,89.5,137.5,0.95
2022-09-16T12:00:00Z,89.5,138.5,0.95
2022-09-16T12:00:00Z,89.5,139.5,0.95
2022-09-16T12:00:00Z,89.5,140.5,0.95
2022-09-16T12:00:00Z,89.5,141.5,0.95
2022-09-16T12:00:00Z,89.5,142.5,0.95
2022-09-16T12:00:00Z,89.5,143.5,0.95
2022-09-16T12:00:00Z,89.5,144.5,0.95
2022-09-16T12:00:00Z,89.5,145.5,0.95
2022-09-16T12:00:00Z,89.5,146.5,0.95
2022-09-16T12:00:00Z,89.5,147.5,0.95
2022-09-16T12:00:00Z,89.5,148.5,0.95
2022-09-16T12:00:00Z,89.5,149.5,0.95
2022-09-16T12:00:00Z,89.5,150.5,0.95
2022-09-16T12:00:00Z,89.5,151.5,0.95
2022-09-16T12:00:00Z,89.5,152.5,0.95
2022-09-16T12:00:00Z,89.5,153.5,0.95
2022-09-16T12:00:00Z,89.5,154.5,0.95
2022-09-16T12:00:00Z,89.5,155.5,0.95
2022-09-16T12:00:00Z,89.5,156.5,0.95
2022-09-16T12:00:00Z,89.5,157.5,0.95
2022-09-16T12:00:00Z,89.5,158.5,0.95
2022-09-16T12:00:00Z,89.5,159.5,0.95
2022-09-16T12:00:00Z,89.5,160.5,0.95
2022-09-16T12:00:00Z,89.5,161.5,0.95
2022-09-16T12:00:00Z,89.5,162.5,0.95
2022-09-16T12:00:00Z,89.5,163.5,0.95
2022-09-16T12:00:00Z,89.5,164.5,0.95
2022-09-16T12:00:00Z,89.5,165.5,0.95
2022-09-16T12:00:00Z,89.5,166.5,0.95
2022-09-16T12:00:00Z,89.5,167.5,0.95
2022-09-16T12:00:00Z,89.5,168.5,0.95
2022-09-16T12:00:00Z,89.5,169.5,0.95
2022-09-16T12:00:00Z,89.5,170.5,0.95
2022-09-16T12:00:00Z,89.5,171.5,0.95
2022-09-16T12:00:00Z,89.5,172.5,0.95
2022-09-16T12:00:00Z,89.5,173.5,0.96
2022-09-16T12:00:00Z,89.5,174.5,0.96
2022-09-16T12:00:00Z,89.5,175.5,0.95
2022-09-16T12:00:00Z,89.5,176.5,0.95
2022-09-16T12:00:00Z,89.5,177.5,0.96
2022-09-16T12:00:00Z,89.5,178.5,0.95
2022-09-16T12:00:00Z,89.5,179.5,0.95
2022-09-16T12:00:00Z,89.5,180.5,0.95
2022-09-16T12:00:00Z,89.5,181.5,0.95
2022-09-16T12:00:00Z,89.5,182.5,0.95
2022-09-16T12:00:00Z,89.5,183.5,0.95
2022-09-16T12:00:00Z,89.5,184.5,0.95
2022-09-16T12:00:00Z,89.5,185.5,0.95
2022-09-16T12:00:00Z,89.5,186.5,0.95
2022-09-16T12:00:00Z,89.5,187.5,0.95
2022-09-16T12:00:00Z,89.5,188.5,0.95
2022-09-16T12:00:00Z,89.5,189.5,0.95
2022-09-16T12:00:00Z,89.5,190.5,0.95
2022-09-16T12:00:00Z,89.5,191.5,0.95
2022-09-16T12:00:00Z,89.5,192.5,0.94
2022-09-16T12:00:00Z,89.5,193.5,0.94
2022-09-16T12:00:00Z,89.5,194.5,0.95
2022-09-16T12:00:00Z,89.5,195.5,0.95
2022-09-16T12:00:00Z,89.5,196.5,0.95
2022-09-16T12:00:00Z,89.5,197.5,0.94
2022-09-16T12:00:00Z,89.5,198.5,0.94
2022-09-16T12:00:00Z,89.5,199.5,0.95
2022-09-16T12:00:00Z,89.5,200.5,0.95
2022-09-16T12:00:00Z,89.5,201.5,0.95
2022-09-16T12:00:00Z,89.5,202.5,0.95
